[<15:52:46>]   cpu_agent: cpu: 42.86 | processes: 430
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:34>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:35>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:36>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:38:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7082
[<18:39:10>]   network_agent: site_connection: 0 | inet_throughput: 69.7083
[<18:39:10>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:10>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:11>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:12>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:12>]   network_agent: site_connection: 1 | inet_throughput: 69.7083
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:37>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:38>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:40>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:40>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7084
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:41>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:42>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:43>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:44>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:45>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:46>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:47>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:48>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:49>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:50>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:51>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:52>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:53>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:54>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:55>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:56>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:57>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
[<18:39:58>]   network_agent: site_connection: 1 | inet_throughput: 69.7085
